country,barcode,product_name,brand,sugar_content_per_100g
italy,8002516010223,La classica,Tomarchio,11.0
italy,3270190005261,PULP' Saveur Orange,Carrefour,8.4
italy,4060800129680,Pepsi lemon,Pepsi,10.7
italy,4060800001771,Pepsi-cola,pepsi,10.9
italy,5449000005090,Fanta,fanta,11.8
italy,8017596071392,Cola,Eurospin,4.1
italy,8014396000393,Acqua tonica,Schweppes,8.9
italy,8002270866562,CHINÒ,San Pellegrino,10.0
italy,8007885745806,Cola,Galvanina,9.5
italy,8002270076787,Chinò zero,San Pellegrino,0.1
italy,3560070791118,Limonade,Carrefour Bio,8.4
italy,8014396000942,Limone,Schweppes,11.4
italy,5449000241368,Coca cola senza caffeina,Coca-Cola,11.1
italy,8032919465108,Orangeade / Aranciata,Lurisia,13.43
italy,8002270836565,L'Aranciata,San Pellegrino,8.6
italy,5000112557664,Coca Cola,Coca-Cola,10.6
italy,5000112557695,Sprite,Sprite,1.9
italy,8017596050823,Cola,blues Eurospin,11.0
italy,3560070566402,Saveur orange,Carrefour,6.7
italy,3560070365531,Limonade,,5.2
italy,8057192000419,Lemon soda,Terme di Crodo,12.0
italy,8003423700023,Siesta Lemon,Romanella,10.4
italy,5449000000453,Coca Cola,Coca-Cola,10.6
italy,8019730001814,Gusto gassosa,Happyfresh,3.0
italy,8017596064882,Cola,Eurospin,10.9
italy,9022100000897,Gröbi Orange,Gröbi,0.5
italy,8019730069432,Tonic lemon,MD,9.8
italy,8017596104533,Gassosa zero,Eurospin,0.0
italy,8033520500004,Aranciata,Vividrink,11.0
italy,8018005720252,Chioschi mandarino verde,Polara,12.5
italy,8017596008329,tonica,Eurospin,9.3
italy,8018848018738,COLA,Baule Volante,9.0
italy,8018005111692,Fruit Thè Verde,Polara,2.0
italy,8711900013213,Taurine drink Psychik,Carrefour,11.0
italy,8026180001189,Sifon-seltz acqua di soda,,0.0
italy,8018005827036,Bio sicilia cedrata,Polara,12.0
italy,5449000241214,Coca-Cola,Coca-Cola,10.6
italy,8057192002581,Lemon Soda Energy Activator,Terme di Crodo,12.0
italy,8057192002802,Energy activator,Terme di Crodo,9.0
italy,8057192002598,Lemon soda zero,Terme di Crodo,0.0
italy,8018005370280,Limonata di Sicilia polara,Polara,12.0
italy,8018005974570,Thè al limone,Polara,8.58
italy,8018005827098,Cola,Polara,10.1
italy,8012666506330,Chinotto,Terre d'Italia,12.0
italy,4056489041634,Bergamotto e menta,Strada del gusto,15.0
italy,5301000171970,Pepsi Lime,,0.0
italy,8002270826801,Aranciata,San Pellegrino,10.1
italy,8001160008211,Mirinda,Mirinda,7.0
italy,8002270816796,L’ARANCIATA,San Pellegrino,10.1
italy,9009700309254,Acqua,,0.0
italy,05944200938,Cocacola,Coca-Cola,48.0
italy,8018005101075,Pompelmo,,1.5
italy,8018005111739,Toni',Polara,9.4
italy,8018005370358,Limone e zenzero di Sicilia,Polara,8.5
